Index,Width,Length,Treatment,Genotype,Plant,Repeat
11,2.719816,12.3256,UV,Col-0,2,1
12,2.330208,8.140848,UV,blus1-3,4,1
13,3.100248,10.5834,UV,blus1-3,4,1
14,2.07576,8.72464,UV,blus1-3,4,1
15,4.185992,8.217728,UV,blus1-3,4,1
16,4.014376,10.603984,UV,blus1-3,4,1
17,4.721672,10.75204,UV,blus1-3,4,1
18,5.282896,9.868664,UV,blus1-3,4,1
19,2.66104,6.757008,UV,blus1-3,4,1
20,2.371128,11.271848,UV,blus1-3,4,1
21,2.192072,7.491832,UV,blus1-3,4,1
22,4.327352,13.574776,UV,blus1-3,4,1
23,3.10868,10.083432,UV,blus1-3,4,1
36,1.136832,13.697784,Predawn,Col-0,1,1
37,1.157416,13.024216,Predawn,Col-0,1,1
38,1.953992,11.71056,Predawn,Col-0,1,1
39,1.746912,9.991424,Predawn,Col-0,1,1
40,1.681192,10.862896,Predawn,Col-0,1,1
41,1.205032,9.651664,Predawn,Col-0,1,1
42,1.71616,12.57236,Predawn,Col-0,1,1
43,1.341184,14.192296,Predawn,Col-0,1,1
44,2.47628,7.351216,Predawn,Col-0,1,1
45,0.950832,10.912496,Predawn,Col-0,1,1
46,1.956968,11.666664,Predawn,Col-0,1,1
47,1.393264,8.535416,Predawn,Col-0,1,1
48,1.860992,11.044184,WL,Col-0,3,1
49,3.692224,12.854584,WL,Col-0,3,1
50,2.586888,10.899352,WL,Col-0,3,1
51,2.97724,8.871952,WL,Col-0,3,1
52,3.536232,13.716136,WL,Col-0,3,1
53,2.376584,7.799352,WL,Col-0,3,1
54,1.576288,7.806792,WL,Col-0,3,1
55,3.00948,14.146912,WL,Col-0,3,1
56,2.878288,10.316552,WL,Col-0,3,1
57,2.784048,10.4036,WL,Col-0,3,1
58,0.615288,9.306944,WL,Col-0,3,1
59,1.94308,11.947896,WL,Col-0,3,1
60,0.713496,8.893032,WL,Col-0,4,1
61,0.82088,13.220632,WL,Col-0,4,1
62,1.914064,9.731272,WL,Col-0,4,1
