"Genotype","Treatment","Plant","Width","Length","Repeat"
"pif4","FR",3,0.470261015846363,9.90864710968067,1
"pif4","FR",3,0.466795934676968,9.31735575870333,1
"pif4","FR",3,1.11080602058867,8.34094538632759,1
"pif4","FR",3,0.42471994904861,9.82895024278461,1
"pif4","FR",3,1.46201674768656,7.03312475067907,1
"pif4","FR",3,0.847954863310336,7.10539644364072,1
"pif4","FR",3,0.389079114163412,12.5814622202727,1
"pif4","FR",3,0.959579978124394,7.89147485749759,1
"pif4","FR",3,1.38949754892709,7.56427219278765,1
"pif47","WL",3,2.81537845013283,10.210109171418,1
"pif47","WL",3,3.28464944278794,8.4320275199231,1
"pif47","WL",3,3.30073731964584,11.1199404841818,1
"pif47","WL",3,2.61885884666861,12.5552266057044,1
"pif47","WL",3,2.79087537614926,14.6820439263191,1
"pif47","WL",3,3.0217982855096,9.48244212584518,1
"pif47","WL",3,3.11139538431822,11.4003645531049,1
"pif47","WL",3,2.70697091069035,10.4125689140297,1
"pif47","WL",3,3.50666214342698,11.0296008679797,1
"pif47","WL",3,1.74590589777907,13.5229742751567,1
"pif47","PreDawn",2,1.33826384877962,7.25464243972249,1
"pif47","PreDawn",2,0.933344363556123,7.30859870364592,1
"pif47","PreDawn",2,0.711579168714891,6.74527550782154,1
"pif47","PreDawn",2,0.928146741802031,11.8649329356015,1
"pif47","PreDawn",2,1.66596152508519,7.3724551994819,1
"pif47","PreDawn",2,0.983340534714526,7.11455415815984,1
"pif47","PreDawn",2,2.15082538300257,7.75163408173275,1
"pif47","PreDawn",2,1.32984865165395,6.49232458245576,1
"pif47","PreDawn",2,1.73600566586652,6.89848159666833,1
"pif47","PreDawn",2,2.19067381645061,6.05275428553831,1
"pif4","PreDawn",1,4.33902414147504,12.9977669721956,1
"pif4","PreDawn",1,2.90918314750429,12.811147600644,1
"pif4","PreDawn",1,2.0728610566912,7.4741800823834,1
"pif4","PreDawn",1,2.58346551758123,5.60922389585585,1
"pif4","PreDawn",1,1.61943043509618,11.4008595647005,1
"pif4","PreDawn",1,1.698137278801,11.441450515542,1
"pif4","PreDawn",1,1.45978919550623,7.84593379069984,1
"pif4","PreDawn",1,2.85027676762459,7.02866964631842,1
"pif4","PreDawn",1,2.86413709230216,8.60429155520155,1
"pif4","PreDawn",1,3.30494491820867,10.296488694855,1
"Col-0","PreDawn",1,1.698137278801,9.20053302213518,1
"Col-0","PreDawn",1,1.98054139410663,7.00391906653704,1
"Col-0","PreDawn",1,1.96742358682249,9.77251892088304,1
"Col-0","PreDawn",1,1.65927886854422,7.44324185765666,1
"Col-0","PreDawn",1,1.40583293158281,6.77349116877232,1
"Col-0","PreDawn",1,1.15510955839735,3.97098302012581,1
