Index,Width,Length,Time,Treatment,Age,Plant
216,9.654,32.277,360mins,UV,Mature,1
217,8.545,36.965,360mins,UV,Mature,1
218,9.783,35.522,360mins,UV,Mature,1
219,9.111,32.658,360mins,UV,Mature,1
220,9.69,32.283,360mins,UV,Mature,1
221,8.172,36.857,360mins,UV,Mature,1
222,11.253,28,360mins,UV,Mature,1
223,7.198,35.379,360mins,UV,Mature,1
224,10.193,33.282,360mins,UV,Mature,1
225,11.178,39.142,360mins,UV,Mature,1
226,9.963,39.077,360mins,UV,Mature,1
227,11.364,26.519,360mins,UV,Mature,1
228,1.132,34.441,120mins,FR,Mature,3
229,1.424,39.103,120mins,FR,Mature,3
230,2.244,31.908,120mins,FR,Mature,3
231,3.168,28.301,120mins,FR,Mature,3
232,4.039,28.999,120mins,FR,Mature,3
233,1.305,37.636,120mins,FR,Mature,3
234,6.227,33.349,120mins,FR,Mature,3
235,2.982,33.733,120mins,FR,Mature,3
236,5.926,38.327,120mins,FR,Mature,3
237,3.986,25.275,120mins,FR,Mature,3
238,4.649,24.909,120mins,FR,Mature,3
239,2.388,30.937,120mins,FR,Mature,3
240,9.764,40.082,240mins,WL,Cot,3
241,6.277,32.428,240mins,WL,Cot,3
242,6.145,39.664,240mins,WL,Cot,3
243,9.37,40.456,240mins,WL,Cot,3
244,10.394,42.772,240mins,WL,Cot,3
245,8.225,34.39,240mins,WL,Cot,3
246,14.548,43.687,240mins,WL,Cot,3
247,8.135,28.992,240mins,WL,Cot,3
248,12.924,51.549,240mins,WL,Cot,3
249,5.582,36.404,240mins,WL,Cot,3
250,7.626,36.517,240mins,WL,Cot,3
251,7.256,28.828,240mins,WL,Cot,3
252,8.824,27.943,120mins,WL,Mature,2
253,8.976,29.134,120mins,WL,Mature,2
254,8.387,29.936,120mins,WL,Mature,2
255,6.616,26.115,120mins,WL,Mature,2
256,7.413,26.499,120mins,WL,Mature,2
257,8.437,25.427,120mins,WL,Mature,2
258,10.033,25.428,120mins,WL,Mature,2
